DATE	HANDLES	WS	VM	COMMITSIZE
02/19/2015 09:28:49	373	145352	802184	560368
02/19/2015 09:28:49	371	146452	805116	563748
02/19/2015 09:28:49	371	147348	805116	565176
02/19/2015 09:28:50	371	146688	806400	564120
02/19/2015 09:28:50	372	153320	821308	570072
02/19/2015 09:28:50	371	153492	821308	570072
02/19/2015 09:28:50	371	154084	821308	570664
02/19/2015 09:28:50	371	154720	821308	571296
02/19/2015 09:28:50	371	155396	821308	571972
02/19/2015 09:28:50	371	155612	821308	572188
02/19/2015 09:28:50	371	155716	821308	572292
02/19/2015 09:28:50	371	156856	821308	573428
02/19/2015 09:28:50	371	157440	821308	574012
02/19/2015 09:28:50	371	158228	821308	574800
02/19/2015 09:28:50	371	158524	821308	575092
02/19/2015 09:28:50	371	159308	821308	575876
02/19/2015 09:28:50	371	160708	822352	577272
02/19/2015 09:28:51	371	161224	822352	577788
02/19/2015 09:28:51	371	161920	822352	578484
02/19/2015 09:28:51	371	162588	822352	579148
02/19/2015 09:28:51	371	162864	822352	579424
02/19/2015 09:28:51	371	163496	822352	580052
02/19/2015 09:28:51	371	164120	822352	580676
02/19/2015 09:28:51	371	164792	822352	581348
02/19/2015 09:28:51	371	165528	822352	582084
02/19/2015 09:28:51	371	166160	822352	582712
02/19/2015 09:28:51	371	167672	823392	584228
02/19/2015 09:28:51	371	168308	823392	584868
02/19/2015 09:28:51	371	168780	839584	585364
02/19/2015 09:28:51	371	169408	839584	585992
02/19/2015 09:28:51	371	170468	839584	587052
02/19/2015 09:28:52	371	170728	839584	587308
02/19/2015 09:28:52	371	171192	839584	587772
02/19/2015 09:28:52	371	171368	839584	587948
02/19/2015 09:28:52	371	172048	839584	588628
02/19/2015 09:28:52	371	172728	839584	589304
02/19/2015 09:28:52	371	173656	839584	590232
02/19/2015 09:28:52	371	174156	839584	590860
02/19/2015 09:28:52	371	174564	839584	591144
02/19/2015 09:28:52	371	175248	839584	591820
02/19/2015 09:28:52	371	175792	839584	592364
02/19/2015 09:28:52	371	176576	839584	593148
02/19/2015 09:28:52	371	177340	839584	593908
02/19/2015 09:28:52	371	178056	839584	594624
02/19/2015 09:28:52	371	178608	839584	595176
02/19/2015 09:28:52	371	179432	839584	595996
02/19/2015 09:28:53	371	180072	839584	596636
02/19/2015 09:28:53	371	182636	841664	599196
02/19/2015 09:28:53	371	183224	841664	599780
02/19/2015 09:28:53	371	183760	841664	600316
02/19/2015 09:28:53	371	184384	841664	600940
02/19/2015 09:28:53	371	184864	841664	601420
02/19/2015 09:28:53	371	185320	841664	601876
02/19/2015 09:28:53	371	185800	841664	602356
02/19/2015 09:28:53	371	186132	841664	602688
02/19/2015 09:28:53	371	186752	857856	603348
02/19/2015 09:28:53	371	188112	857856	604700
02/19/2015 09:28:53	371	188400	857856	604988
02/19/2015 09:28:53	371	189160	857856	605740
02/19/2015 09:28:53	371	189776	857856	606356
02/19/2015 09:28:54	371	190544	857856	607124
02/19/2015 09:28:54	371	191132	857856	607708
02/19/2015 09:28:54	371	191780	857856	608356
02/19/2015 09:28:54	371	192260	857856	608836
02/19/2015 09:28:54	371	192820	857856	609396
02/19/2015 09:28:54	371	193328	857856	609900
